Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
2,314.0,320.0,1387,56.5,115,0
1,313.6,319.3,1510,51.0,182,0
1,315.2,321.7,1397,62.75,76,0
0,315.0,321.3,1703,38.0,90,0
0,313.2,318.8,1616,42.125,21,0
0,314.1,320.1,1367,57.0,49,0
0,314.7,320.3,1495,53.875,106,0
1,312.7,318.9,1681,35.375,121,0
0,312.4,318.8,1651,42.625,168,0
0,313.4,319.1,1423,60.0,140,0
0,313.4,319.6,1710,34.125,168,1
0,314.9,321.4,1706,36.0,116,0
1,313.1,318.7,1315,71.0,64,0
0,315.5,321.8,1368,72.375,196,1
0,314.0,320.2,1682,36.0,54,0
0,314.1,320.4,1657,38.75,134,0
1,315.5,322.0,1779,34.625,51,0
0,312.2,318.4,1833,31.5,122,0
0,313.5,319.5,1548,55.625,137,0
0,313.0,318.6,1532,53.25,59,0
0,313.2,318.9,1709,35.125,86,0
0,313.5,319.5,1547,41.375,73,0
2,314.9,321.4,1497,46.25,167,0
1,315.4,321.6,1401,62.375,84,0
1,312.4,318.3,1550,59.75,23,0
0,314.0,320.4,1606,38.875,139,0
0,312.5,318.8,1360,63.375,195,0
0,312.4,318.8,1353,61.75,193,0
0,313.9,320.6,1406,54.75,17,0
1,313.1,318.5,1382,68.125,22,0
0,314.1,320.4,1550,54.875,84,0
2,313.8,319.8,1437,60.25,169,0
0,313.3,319.4,1378,65.375,17,0
0,313.9,319.5,1645,38.875,174,0
0,314.1,320.1,1486,50.875,44,0
0,312.9,318.9,1393,50.75,50,0
0,313.0,318.4,1472,52.5,20,0
1,312.3,318.5,1664,36.125,179,0
1,313.8,320.5,1678,41.0,9,0
0,314.9,321.3,1504,50.875,25,0
0,312.2,318.7,1501,48.125,91,0
1,314.8,320.0,1632,42.125,177,0
1,313.2,318.7,1426,53.25,28,0
0,315.9,320.5,1599,50.625,62,0
0,313.2,318.7,1428,68.625,50,0
1,315.1,320.1,1501,49.125,200,0
1,315.2,320.6,1983,26.0,88,0
2,315.2,320.4,1501,53.625,217,0
0,314.3,320.5,1281,74.75,20,0
1,312.2,317.9,1456,56.125,90,0
1,313.8,320.6,1640,42.25,14,0
0,315.4,321.7,1314,74.375,165,0
0,314.3,320.8,1483,54.375,20,0
0,313.0,318.4,1911,27.5,18,0
0,313.6,319.6,1423,53.375,87,0
0,313.5,319.0,1450,50.625,204,0
1,316.1,322.4,1809,31.375,131,0
0,315.3,321.6,1374,59.25,202,0
1,314.6,320.8,1427,63.0,103,0
1,314.1,320.5,1428,53.75,58,0
2,312.4,318.7,1323,63.875,135,0
0,312.7,318.2,1446,54.875,177,0
0,315.0,321.5,1749,35.375,88,0
1,313.7,320.0,1459,50.25,74,0
1,313.7,320.0,1519,47.625,203,0
0,315.2,320.0,1486,50.125,187,0
0,312.1,318.3,1773,29.75,174,0
1,313.1,318.7,1581,59.25,56,0
0,315.6,321.7,1428,65.75,213,0
2,313.5,319.2,1568,50.75,44,0
1,312.9,319.1,1614,47.625,67,0
0,314.8,320.0,1697,45.0,180,0
1,313.5,318.8,1557,45.0,26,0
0,315.2,321.6,1375,71.125,160,0
2,314.0,319.9,1884,32.0,105,0
0,315.7,320.2,1569,41.0,36,0
0,314.9,320.4,1470,62.5,153,0
2,315.9,322.0,1397,53.375,217,0
0,313.8,320.0,1403,57.0,190,0
2,315.2,321.4,1319,68.25,20,0
0,313.8,319.7,1609,50.5,174,0
0,315.4,320.5,1818,31.375,19,0
0,313.5,320.0,1435,53.125,30,0
1,313.3,319.1,1632,40.875,5,0
1,315.1,320.1,1443,61.625,66,0
2,312.5,318.6,1536,48.375,12,0
1,313.3,319.2,1359,64.25,26,0
0,312.3,318.6,1358,59.5,115,0
0,315.2,320.1,1523,52.875,30,0
2,313.6,318.8,1566,48.875,41,0
0,314.7,320.3,1386,58.25,7,0
0,315.2,321.7,1603,38.125,181,0
1,313.5,319.4,1365,60.875,61,0
0,315.4,321.7,1515,59.25,175,0
2,313.5,319.7,1561,44.125,213,0
1,315.5,321.6,1658,38.0,175,0
1,315.2,321.4,1570,44.125,143,0
0,312.6,318.6,1522,46.25,111,0
0,315.6,322.2,1308,68.375,57,0
0,313.6,319.9,1564,46.375,35,0
0,313.2,317.8,1429,58.625,122,0
0,315.3,321.4,1544,52.0,102,0
0,312.3,318.2,1553,41.875,7,0
0,314.0,320.1,1664,37.125,94,0
1,315.5,321.9,1323,72.375,160,0
1,313.2,318.7,1361,55.25,5,0
0,314.2,320.3,1463,48.625,165,0
0,314.8,321.1,1603,43.875,184,0
0,313.2,319.0,1643,42.625,96,0
0,312.1,318.4,1529,50.5,170,0
0,315.1,321.4,1729,36.625,76,0
0,312.4,318.4,1525,48.375,67,0
0,313.5,319.9,1482,52.625,20,0
1,315.0,320.1,1314,66.875,204,0
0,314.8,321.2,1664,35.375,178,0
0,315.2,321.4,1568,51.25,37,0
1,313.9,319.9,1357,68.125,126,0
2,315.5,321.6,1351,66.875,83,0
0,314.6,320.2,1627,45.75,22,0
2,315.0,320.1,1714,35.875,60,0
1,312.6,318.6,1254,57.25,36,0
2,313.2,318.8,1470,54.125,66,0
0,315.4,321.5,1596,40.625,159,0
1,314.2,320.5,1548,41.875,40,0
0,315.2,321.6,1372,61.5,200,0
2,314.0,320.1,1555,48.25,123,0
2,314.3,320.4,1510,56.875,32,0
0,313.2,318.7,2186,22.25,36,0
0,312.1,318.5,1578,44.5,51,0
0,312.4,318.3,1706,38.625,14,0
2,316.2,322.4,1395,59.75,95,0
0,315.2,321.7,1553,51.625,49,0
0,315.5,321.4,1556,56.625,63,0
1,313.5,319.7,1523,55.75,88,0
0,312.5,318.7,1454,56.25,24,0
0,313.9,320.1,1523,48.875,58,0
0,314.0,320.4,1512,48.5,114,0
1,313.8,318.4,1604,36.875,19,0
1,314.3,320.8,1523,51.125,146,0
0,315.1,321.4,1430,51.125,98,0
1,312.9,319.0,2456,17.375,87,0
1,312.5,318.3,1476,57.0,36,0
0,315.4,320.6,1429,58.625,24,0
0,313.5,319.6,1724,33.0,105,0
0,313.2,318.8,1345,55.375,42,0
2,312.3,318.5,1435,68.75,109,0
0,314.8,320.3,1687,38.0,38,0
0,315.4,322.0,1366,53.75,122,0
0,314.8,319.7,1707,36.375,99,0
0,315.5,321.3,1475,57.875,54,0
1,312.2,317.9,1747,36.25,193,0
2,312.3,318.1,1477,65.375,7,0
0,313.4,319.6,1479,47.25,149,0
0,314.6,321.0,1554,45.375,67,0
0,313.8,319.8,1753,34.375,135,0
0,312.3,318.1,1566,44.625,161,0
0,315.8,320.6,1666,45.25,149,0
2,313.9,319.6,1546,44.125,195,0
1,315.0,321.4,1466,48.75,130,0
0,312.9,319.0,1532,47.0,52,0
0,315.3,321.1,1388,61.75,133,0
1,313.3,318.0,1766,32.5,101,0
0,314.8,319.8,1749,41.75,158,0
1,314.2,320.4,1502,49.75,39,0
0,312.2,318.7,1669,38.375,77,0
2,312.9,319.1,1435,55.875,13,0
0,313.4,320.0,1559,55.25,28,0
0,314.2,320.6,1534,49.625,88,0
0,315.5,322.0,1646,36.875,111,0
0,313.6,319.4,2312,19.375,49,0
0,315.7,321.8,1603,42.625,22,0
1,315.7,322.4,1371,77.125,107,0
0,315.5,321.9,1887,27.125,61,0
2,315.5,321.4,1679,34.375,64,0
1,315.1,321.4,1575,37.25,215,0
0,315.8,320.7,1525,49.25,180,0
0,313.3,319.0,1657,40.25,184,0
1,314.3,320.6,1609,39.25,104,0
1,313.4,319.2,1491,64.0,18,0
1,312.7,318.1,2189,19.5,191,0
0,313.3,317.9,1435,49.875,148,0
0,314.4,320.6,1418,66.375,15,0
0,312.3,318.1,1568,43.0,199,0
1,315.7,321.7,1532,50.0,5,0
0,315.5,321.5,1651,46.125,70,0
0,314.0,320.1,1531,45.0,62,0
0,314.4,320.8,1622,42.0,222,0
0,312.1,318.2,1351,70.75,131,0
0,315.8,322.0,1416,58.125,12,0
0,313.4,319.7,1530,48.25,166,0
0,312.6,318.3,1523,49.375,142,0
0,312.6,318.6,1576,40.875,88,0
0,312.4,318.4,1378,49.875,68,0
1,313.5,319.5,1483,56.0,97,0
0,315.0,320.1,1465,51.125,65,0
1,313.7,319.8,1475,50.625,64,0
0,313.5,319.8,1468,51.125,162,0
1,313.2,318.9,1414,55.375,73,0
0,313.4,319.2,1425,56.875,16,0
0,313.8,319.8,1599,42.0,136,0
0,315.3,321.3,1505,49.5,112,0
0,315.0,321.4,1483,57.0,192,0
0,316.0,322.2,1372,58.75,64,0
0,315.5,321.1,1547,46.5,12,0
2,313.0,318.7,1536,49.5,104,0
0,314.9,321.3,1429,72.75,108,0
0,312.7,318.7,1694,36.375,107,0
2,313.7,318.5,1572,44.5,207,0
0,313.9,319.9,1309,70.25,124,0
0,315.0,321.4,1655,37.0,35,0
1,315.5,321.9,1730,34.375,214,0
0,315.7,320.5,1960,26.25,199,0
0,313.9,319.6,1365,63.625,188,0
2,315.4,321.5,1662,36.25,142,0
0,315.1,321.5,1334,67.5,31,0
0,313.4,319.4,1392,62.625,122,0
0,313.0,318.9,1406,51.125,82,0
0,313.3,319.5,1542,45.875,139,0
1,315.3,321.5,1540,51.875,156,0
1,313.5,319.2,1721,36.75,175,0
0,313.5,319.4,1548,47.125,48,0
0,314.0,320.4,1452,57.75,173,0
1,312.4,318.4,1564,43.75,110,0
0,315.5,321.6,1534,47.125,95,0
1,314.5,320.8,1754,39.125,119,0
0,313.4,319.7,1518,49.75,170,0
0,313.4,318.1,1395,55.0,97,0
1,315.2,321.6,1510,59.375,151,0
1,312.4,318.4,1789,31.25,215,0
0,315.4,321.7,1459,57.0,8,0
1,314.8,321.1,1763,31.875,176,0
0,315.1,321.4,1356,57.125,154,0
0,314.9,321.3,1647,34.375,31,0
0,312.1,318.7,1474,52.875,69,0
2,313.0,318.8,1411,67.25,78,0
0,315.4,321.8,1433,52.75,19,0
1,312.0,317.7,1261,63.875,135,0
1,315.3,320.2,1429,55.875,208,0
0,315.6,320.5,1644,42.25,153,0
0,315.5,321.4,1611,40.875,49,0
1,315.1,321.4,1617,49.125,52,0
2,313.6,319.5,1420,63.0,87,0
0,315.6,320.4,1494,59.125,123,0
1,312.9,319.2,1529,47.625,101,0
0,315.8,321.8,1427,54.125,185,0
0,315.5,321.9,1350,64.625,23,0
0,316.0,322.0,1518,49.125,201,0
0,315.6,320.4,2007,24.75,121,0
2,315.6,321.7,1535,41.625,97,0
1,312.5,318.0,1560,48.75,146,0
1,314.0,320.0,1488,57.875,203,0
0,313.3,318.9,1862,33.75,177,0
2,314.6,320.9,1679,39.0,125,0
0,315.5,321.6,1744,33.5,99,0
0,313.8,319.7,1740,35.625,157,0
0,312.4,318.5,1761,34.0,81,0
0,313.9,320.2,1705,40.625,68,0
0,313.7,319.9,1371,64.125,206,0
2,315.6,320.6,1448,55.875,60,0
0,313.3,317.9,1703,36.125,152,0
1,314.8,319.7,1556,47.125,129,0
1,313.6,319.4,1407,56.375,181,0
1,315.1,320.3,1350,61.0,55,0
0,312.5,318.5,1462,65.375,153,0
0,313.4,319.6,1477,44.5,106,0
1,314.2,320.6,1443,63.625,90,0
1,312.4,318.0,1601,43.25,186,0
1,315.9,322.1,1617,38.75,153,0
0,312.5,318.5,1373,49.875,115,0
0,314.5,320.0,1502,48.125,57,0
0,313.6,319.9,1393,56.875,43,0
1,312.2,317.9,1632,46.875,161,0
0,312.5,318.8,1530,47.25,162,0
0,313.4,318.9,1402,56.0,206,0
2,312.4,318.3,1771,34.25,105,0
2,312.4,318.8,1324,66.875,174,0
2,315.4,321.8,2496,16.875,10,0
1,312.4,318.8,1325,78.0,209,1
0,313.7,319.7,1667,38.0,97,0
2,314.0,320.1,2053,24.625,142,0
0,315.1,320.5,1500,49.75,112,0
1,313.8,320.0,1484,56.125,85,0
0,315.8,321.7,1578,39.25,224,0
1,314.9,320.1,1362,70.375,184,0
0,313.8,320.0,1537,49.875,195,0
2,315.4,321.2,1489,56.625,185,0
1,313.6,319.1,1587,46.625,208,0
0,312.3,318.0,1447,61.25,66,0
1,313.8,319.7,1459,59.125,146,0
0,312.3,318.7,1352,67.25,96,0
0,312.5,318.8,1312,62.875,164,0
0,314.7,320.2,1469,49.375,31,0
0,313.8,320.0,1611,40.5,188,0
1,313.9,320.3,1551,44.0,55,0
0,314.7,320.2,1633,45.625,29,0
1,313.3,319.6,1681,33.875,199,0
0,314.6,321.1,1679,38.375,134,0
2,315.4,321.4,1427,63.375,127,0
0,313.4,319.3,1545,46.125,8,0
0,315.8,321.7,1414,61.25,15,0
1,313.7,319.8,1501,55.875,53,0
0,315.5,321.6,1661,37.5,163,0
0,313.9,320.0,1633,39.0,81,0
1,313.9,319.6,1284,69.125,171,0
0,314.2,320.6,1498,51.375,93,0
0,313.6,319.3,1702,34.5,148,0
0,315.4,321.4,1728,39.625,138,0
0,315.2,321.4,1452,59.75,39,0
2,315.3,321.8,2141,23.125,209,0
1,314.1,320.0,1437,51.375,197,0
2,312.3,318.3,1935,24.125,29,0
1,315.2,321.4,1450,48.125,73,0
0,315.6,321.9,1413,51.625,48,0
0,313.7,318.4,1694,35.875,200,0
2,312.7,318.4,1288,61.875,96,0
1,313.0,319.0,1393,69.875,84,0
2,313.5,319.0,1531,38.5,217,0
1,312.6,318.6,1509,49.625,171,0
0,315.0,321.4,1383,62.0,106,0
0,315.3,321.5,1466,57.75,67,0
0,313.9,320.0,1559,41.75,63,0
0,312.3,318.3,1550,46.25,59,0
1,315.2,321.5,1547,51.125,71,0
0,312.9,319.1,1543,45.75,25,0
0,313.6,319.4,1375,69.25,150,0
2,312.2,318.0,1435,53.75,207,0
0,315.5,321.5,1487,53.75,83,0
1,314.8,321.3,1517,51.5,110,0
1,312.4,318.0,1440,53.0,195,0
0,313.6,319.7,1703,32.625,10,0
1,315.9,320.4,1576,50.5,97,0
0,312.4,318.6,1446,60.125,93,0
0,313.2,318.9,1605,40.0,84,0
0,312.7,318.7,1688,34.0,130,0
1,315.5,321.4,1312,64.25,65,0
0,314.8,320.9,1545,50.875,171,0
0,314.6,320.8,1498,58.625,121,0
1,315.5,321.9,1676,44.0,102,0
0,314.8,321.1,1466,57.625,63,0
